canonical_question_id,defect_class,evidence_id,examiner,legacy_claimed_text,legacy_confidence,live_question,source_vs_live,source_wording
QB1_B#q5,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0393,Simon,"Types of ship layup — explain cold layup, warm layup, and hot layup. Key differences and CE actions.",manual,What is a Continuous Synopsis Record (CSR) and what types/categories of CSR entries exist?,0.167,Two types of CSR — explain both. Difference between CSR and E-CSR.
QB1_C#q7,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0399,Nair,Structural damage — assessment and reporting?,0.75,Structural damage — assessment and reporting?,0.222,Structural damage — how will you assess and report as CE? Cross questions.
QB4_C#q14,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0401,Nair,"INTERTANKO, OCIMF and ISGOTT?",manual,"INTERTANKO, OCIMF and ISGOTT?",0.286,"INTERTANKO, OCIMF and ISSGOT — functions and cross questions."
QB8_A#q6,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0403,Nair,IMDG DG cargo documents?,1,IMDG DG cargo documents?,0.222,IMDG Code — key provisions and documents required for DG cargoes in containers.
QB4_C#q15,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0406,Nair,RO Code?,1,RO Code?,0.167,RO Code — requirements for Recognised Organisations as per flag state.
QB2_B#q8,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0410,Nair,"When a container fire occurs, how do you use the UN number to identify cargo-specific hazard symptoms, and how does this affect your firefighting appr",manual,"When a container fire occurs, how do you use the UN number to identify cargo-specific hazard symptoms, and how does this affect your firefighting approach?",0.25,Container fire — cargo unknown. How will you fight the fire? What is your approach as CE?
QB4_C#q15,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0417,Nair,RO Code?,1,RO Code?,0.111,Why is class required? (Deep cross — went into RO Code and flag state delegation)
QB1_B#q2,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0437,Nair,COF — contents and who issues it?,manual,"What is the purpose of the P&A (Procedures and Arrangements) Manual, and who issues it?",0.1,"P&A Manual and Certificate of Fitness — what is the P&A Manual, its contents, and how does the COF relate?"
QB9_F#q3,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0447,Senthil,,manual,Machinery Breakdown Insurance Claims,0.273,Machinery breakdown goes for insurance claim — what documents/records will be accepted and where do you record it?
QB4_C#q15,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0456,Simon,RO Code?,1,RO Code?,0.167,ISM Code elements — list all 12 elements and explain the key ones.
QB4_C#q15,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0458,Simon,RO Code?,1,RO Code?,0.167,How is continuous improvement achieved under ISM Code?
QB9_F#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0465,Simon,Off-hire clause in a charter party — when does it apply and what are the implications for the CE?,manual,Uniform Law and Conflict of Law in Maritime Context,0.0,Fraudulent registration of ships — what is it and what are the consequences?
QB5_E#q4,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0485,Simon,"MACN — what is it, who formed it and what does it do?",1,"MACN — what is it, who formed it and what does it do?",0.333,"MACN (Maritime Anti-Corruption Network) — what is it, who formed it and what does it do?"
QB5_E#q5,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0486,Simon,Day of the Seafarer — what is this year's theme and its relevance to your role?,manual,Day of the Seafarer — what is this year's theme and its relevance to your role?,0.2,International Seafarers Day 2026 — what is the slogan/theme?
QB4_C#q15,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0490,Simon,RO Code?,1,RO Code?,0.0,"PSC — appeal process, codes involved, and process after detention."
QB4_B#q19,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0498,Simon,"In what circumstances would you switch off AIS, and who authorises this decision? How does this apply in a war zone scenario?",manual,"In what circumstances would you switch off AIS, and who authorises this decision? How does this apply in a war zone scenario?",0.125,"AIS — which equipment are connected to AIS, can AIS be switched off, and what is the range of AIS?"
QB1_A#q23,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0499,Simon,Hot Pursuit — Definition and conditions required.,manual,Hot Pursuit — Definition and conditions required.,0.25,Hot pursuit criteria — what conditions must be met to invoke right of hot pursuit under UNCLOS?
QB1_A#q21,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0501,Simon,Coastal state duties — obligations under UNCLOS?,manual,Innocent Passage under UNCLOS — Explain.,0.25,What offences justify hot pursuit under UNCLOS?
QB7_E#q3,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0512,Simon,Why is the IGF Code required?,1,Why is the IGF Code required?,0.273,"Low flashpoint fuels — where are they used without requiring the IGF Code, and why is IGF not required there?"
QB9_D#q9,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0516,Simon,Act vs rule — difference in Indian legal context with maritime examples?,manual,Act vs rule — difference in Indian legal context with maritime examples?,0.231,Rules vs Regulations vs Act — difference between these legal instruments.
QB1_A#q27,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0521,Nair,Hague-Visby Rules — Explain.,1,Hague-Visby Rules — Explain.,0.333,"COGSA 1925 (India) — full details, relation to Hague Rules and Hague-Visby Rules."
QB9_F#q1,MAPPING_UNVERIFIABLE_AGAINST_LIVE_FILE,MASTER-AQ-0529,Simon,CAS and CAP — detailed comparison and application for senior engineers.,manual,Uniform Law and Conflict of Law in Maritime Context,0.1,Cabotage law — explain and its application to Indian coastal trade.
QB3_C#q1,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0534,Nair,MARPOL Annex V latest amendments?,High (86% fuzzy match),MARPOL Annex V latest amendments?,0.188,"What are the latest SOLAS and MARPOL amendments that entered into force specifically in 2026, including the bunker fuel flash point amendment?"
QB1_supplementary#q4,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0536,Nair,Explain the CMS (Continuous Machinery Survey) scope. What can the CE survey? What must class surveyors survey? What is NOT covered by CMS?,High (88% fuzzy match),Explain the CMS (Continuous Machinery Survey) scope. What can the CE survey? What must class surveyors survey? What is NOT covered by CMS?,0.083,CAP survey — explain.
QB1_G#q32,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0539,Simon,Empanelment of salvors. ( ms notice 1 of 202),0.9,Empanelment of salvors. ( ms notice 1 of 202),0.222,"Empanelment of salvors circular — who issues it, what is its current name, and is it in force?"
QB6#q14,SOURCE_ASK_NOT_COVERED_BY_MAPPED_QUESTION,MASTER-AQ-0559,Nair,What is EU MRV and how does it differ from IMO DCS?,High (82% fuzzy match),What is EU MRV and how does it differ from IMO DCS?,0.091,SMPEP (Shipboard Marine Pollution Emergency Plan) — what is it and how does it differ from SOPEP?
